Feature,Importance
dissolved_oxygen_max,0.7252220524026471
specific_conductance_mean,0.042263724068866415
specific_conductance_max,0.03758931921767083
date_index,0.030348127656696755
ph_min,0.023379971535843105
location_id,0.022453624362642796
temperature_max,0.02085491873629343
specific_conductance_min,0.020562626281500417
ph_max,0.01921477549395637
dissolved_oxygen_min,0.01667312509317368
dissolved_oxygen_mean,0.014864400596258034
temperature_min,0.014407911825468014
temperature_mean,0.012165422728982989
